,mean reward,Machine Cost,method
853,46880,1000,Supervisory
854,111900,1000,Supervisory
855,139880,1000,Supervisory
856,111880,1000,Supervisory
857,141880,1000,Supervisory
858,40890,1000,Supervisory
859,103870,1000,Supervisory
860,100890,1000,Supervisory
861,142870,1000,Supervisory
862,130890,1000,Supervisory
863,93880,1000,Supervisory
864,84890,1000,Supervisory
865,84890,1000,Supervisory
866,61880,1000,Supervisory
867,138880,1000,Supervisory
868,102880,1000,Supervisory
869,85880,1000,Supervisory
870,126870,1000,Supervisory
871,105880,1000,Supervisory
872,-38110,1000,Supervisory
873,90890,1000,Supervisory
874,130870,1000,Supervisory
875,76870,1000,Supervisory
876,95880,1000,Supervisory
877,57880,1000,Supervisory
878,80890,1000,Supervisory
879,87880,1000,Supervisory
880,134870,1000,Supervisory
881,85880,1000,Supervisory
882,92870,1000,Supervisory
883,131880,1000,Supervisory
884,-51110,1000,Supervisory
885,97870,1000,Supervisory
886,81880,1000,Supervisory
887,99860,1000,Supervisory
888,91890,1000,Supervisory
889,69880,1000,Supervisory
890,129870,1000,Supervisory
891,137880,1000,Supervisory
892,55870,1000,Supervisory
893,5880,1000,Supervisory
894,105880,1000,Supervisory
895,69880,1000,Supervisory
896,93880,1000,Supervisory
897,61880,1000,Supervisory
898,145890,1000,Supervisory
899,76880,1000,Supervisory
