,mean reward,Fail Probability,method
506,139100,20,Supervisory
507,218990,20,Supervisory
508,228010,20,Supervisory
509,178940,20,Supervisory
510,109000,20,Supervisory
511,179100,20,Supervisory
512,188070,20,Supervisory
513,229010,20,Supervisory
514,176980,20,Supervisory
515,229110,20,Supervisory
516,109000,20,Supervisory
517,138970,20,Supervisory
518,89100,20,Supervisory
519,237950,20,Supervisory
520,147880,20,Supervisory
521,219100,20,Supervisory
522,188960,20,Supervisory
523,109160,20,Supervisory
524,219030,20,Supervisory
525,188040,20,Supervisory
526,106990,20,Supervisory
527,189090,20,Supervisory
528,227970,20,Supervisory
529,99160,20,Supervisory
530,229000,20,Supervisory
531,209110,20,Supervisory
532,99000,20,Supervisory
533,187950,20,Supervisory
534,129040,20,Supervisory
535,219140,20,Supervisory
536,179020,20,Supervisory
537,219010,20,Supervisory
538,228070,20,Supervisory
539,179110,20,Supervisory
540,149000,20,Supervisory
541,169040,20,Supervisory
542,217950,20,Supervisory
543,218980,20,Supervisory
544,159080,20,Supervisory
545,218090,20,Supervisory
546,117040,20,Supervisory
547,228920,20,Supervisory
548,219100,20,Supervisory
549,219080,20,Supervisory
550,129060,30,Supervisory
551,228960,30,Supervisory
552,179120,30,Supervisory
553,159060,30,Supervisory
554,219060,30,Supervisory
555,128970,30,Supervisory
556,139090,30,Supervisory
557,168940,30,Supervisory
558,179050,30,Supervisory
559,109000,30,Supervisory
560,138020,30,Supervisory
561,227970,30,Supervisory
562,169040,30,Supervisory
563,79140,30,Supervisory
564,119050,30,Supervisory
565,119010,30,Supervisory
566,177970,30,Supervisory
567,188920,30,Supervisory
568,229070,30,Supervisory
569,219080,30,Supervisory
570,99100,30,Supervisory
571,219080,30,Supervisory
572,209140,30,Supervisory
573,198990,30,Supervisory
574,188980,30,Supervisory
575,188010,30,Supervisory
576,158000,30,Supervisory
577,237950,30,Supervisory
578,169130,30,Supervisory
579,179100,30,Supervisory
580,88010,30,Supervisory
581,99070,30,Supervisory
582,228020,30,Supervisory
583,89100,30,Supervisory
584,89080,30,Supervisory
585,229010,30,Supervisory
586,109120,30,Supervisory
587,209130,30,Supervisory
588,207900,30,Supervisory
589,227000,30,Supervisory
590,179100,30,Supervisory
591,179100,30,Supervisory
592,169040,30,Supervisory
593,179170,30,Supervisory
594,58050,30,Supervisory
595,128880,30,Supervisory
596,149000,30,Supervisory
597,148130,30,Supervisory
598,87960,30,Supervisory
599,118980,30,Supervisory
600,138980,40,Supervisory
601,179110,40,Supervisory
602,139100,40,Supervisory
603,219070,40,Supervisory
