,mean reward,Rejection Type 1 Probability,method
738,108950,60.0,Supervisory
739,118980,60.0,Supervisory
740,119020,60.0,Supervisory
741,69060,60.0,Supervisory
742,167970,60.0,Supervisory
743,119040,60.0,Supervisory
744,99050,60.0,Supervisory
745,166980,60.0,Supervisory
746,118010,60.0,Supervisory
747,99050,60.0,Supervisory
748,78000,60.0,Supervisory
749,119070,60.0,Supervisory
750,69020,70.0,Supervisory
751,159100,70.0,Supervisory
752,117000,70.0,Supervisory
753,47990,70.0,Supervisory
754,69160,70.0,Supervisory
755,109070,70.0,Supervisory
756,107950,70.0,Supervisory
757,219050,70.0,Supervisory
758,99130,70.0,Supervisory
759,158020,70.0,Supervisory
760,39100,70.0,Supervisory
761,79110,70.0,Supervisory
762,117930,70.0,Supervisory
763,65910,70.0,Supervisory
764,128050,70.0,Supervisory
765,56870,70.0,Supervisory
766,159100,70.0,Supervisory
767,57000,70.0,Supervisory
768,39050,70.0,Supervisory
769,109000,70.0,Supervisory
770,49040,70.0,Supervisory
771,156960,70.0,Supervisory
772,149120,70.0,Supervisory
773,-34210,70.0,Supervisory
774,59000,70.0,Supervisory
775,168110,70.0,Supervisory
776,78040,70.0,Supervisory
777,177950,70.0,Supervisory
778,166980,70.0,Supervisory
779,9080,70.0,Supervisory
780,159060,70.0,Supervisory
781,77960,70.0,Supervisory
782,164980,70.0,Supervisory
783,159060,70.0,Supervisory
784,148140,70.0,Supervisory
785,117050,70.0,Supervisory
786,117930,70.0,Supervisory
787,148040,70.0,Supervisory
788,158040,70.0,Supervisory
789,118920,70.0,Supervisory
790,48020,70.0,Supervisory
791,58020,70.0,Supervisory
792,29080,70.0,Supervisory
793,127990,70.0,Supervisory
794,18040,70.0,Supervisory
795,219140,70.0,Supervisory
796,106910,70.0,Supervisory
797,56920,70.0,Supervisory
798,-82020,70.0,Supervisory
799,117970,70.0,Supervisory
800,129040,80.0,Supervisory
801,109060,80.0,Supervisory
802,96980,80.0,Supervisory
803,78130,80.0,Supervisory
804,139060,80.0,Supervisory
805,9010,80.0,Supervisory
806,109050,80.0,Supervisory
807,-54220,80.0,Supervisory
808,39100,80.0,Supervisory
809,8040,80.0,Supervisory
810,168050,80.0,Supervisory
811,17950,80.0,Supervisory
812,169000,80.0,Supervisory
813,118050,80.0,Supervisory
814,118120,80.0,Supervisory
815,57010,80.0,Supervisory
816,2860,80.0,Supervisory
817,149160,80.0,Supervisory
818,98020,80.0,Supervisory
819,66980,80.0,Supervisory
820,118070,80.0,Supervisory
821,175850,80.0,Supervisory
822,109140,80.0,Supervisory
823,109040,80.0,Supervisory
824,97980,80.0,Supervisory
825,18950,80.0,Supervisory
826,68010,80.0,Supervisory
827,199220,80.0,Supervisory
828,48070,80.0,Supervisory
829,57040,80.0,Supervisory
830,159060,80.0,Supervisory
831,97000,80.0,Supervisory
832,105910,80.0,Supervisory
833,169110,80.0,Supervisory
