,mean reward,Rejection Type 1 Cost,method
686,227990,30000,Supervisory
687,159060,30000,Supervisory
688,219100,30000,Supervisory
689,229080,30000,Supervisory
690,219000,30000,Supervisory
691,178030,30000,Supervisory
692,68010,30000,Supervisory
693,88980,30000,Supervisory
694,69020,30000,Supervisory
695,188070,30000,Supervisory
696,159020,30000,Supervisory
697,179100,30000,Supervisory
698,79040,30000,Supervisory
699,169040,30000,Supervisory
700,166550,32500,Supervisory
701,100870,32500,Supervisory
702,156600,32500,Supervisory
703,128090,32500,Supervisory
704,115550,32500,Supervisory
705,14070,32500,Supervisory
706,228010,32500,Supervisory
707,219130,32500,Supervisory
708,166610,32500,Supervisory
709,218050,32500,Supervisory
710,116600,32500,Supervisory
711,189040,32500,Supervisory
712,148990,32500,Supervisory
713,76570,32500,Supervisory
714,209150,32500,Supervisory
715,179110,32500,Supervisory
716,189020,32500,Supervisory
717,228880,32500,Supervisory
718,219060,32500,Supervisory
719,216000,32500,Supervisory
720,136380,32500,Supervisory
721,116510,32500,Supervisory
722,125450,32500,Supervisory
723,169160,32500,Supervisory
724,179170,32500,Supervisory
725,228000,32500,Supervisory
726,93080,32500,Supervisory
727,-26970,32500,Supervisory
728,76580,32500,Supervisory
729,126540,32500,Supervisory
730,179100,32500,Supervisory
731,219150,32500,Supervisory
732,126510,32500,Supervisory
733,209130,32500,Supervisory
734,166540,32500,Supervisory
735,149050,32500,Supervisory
736,94070,32500,Supervisory
737,89110,32500,Supervisory
738,106640,32500,Supervisory
739,168110,32500,Supervisory
740,165510,32500,Supervisory
741,198970,32500,Supervisory
742,219010,32500,Supervisory
743,75530,32500,Supervisory
744,209120,32500,Supervisory
745,166560,32500,Supervisory
746,196330,32500,Supervisory
747,179080,32500,Supervisory
748,198900,32500,Supervisory
749,178090,32500,Supervisory
750,121930,35000,Supervisory
751,174040,35000,Supervisory
752,179060,35000,Supervisory
753,82940,35000,Supervisory
754,237950,35000,Supervisory
755,218030,35000,Supervisory
756,209160,35000,Supervisory
757,148960,35000,Supervisory
758,164040,35000,Supervisory
759,179130,35000,Supervisory
760,114080,35000,Supervisory
761,104160,35000,Supervisory
762,74070,35000,Supervisory
763,178070,35000,Supervisory
764,229000,35000,Supervisory
765,228050,35000,Supervisory
766,179100,35000,Supervisory
767,188050,35000,Supervisory
768,148970,35000,Supervisory
769,124100,35000,Supervisory
770,179020,35000,Supervisory
771,139060,35000,Supervisory
772,219070,35000,Supervisory
773,124020,35000,Supervisory
774,162910,35000,Supervisory
775,163960,35000,Supervisory
776,108030,35000,Supervisory
777,219050,35000,Supervisory
778,239020,35000,Supervisory
779,53910,35000,Supervisory
780,219050,35000,Supervisory
781,174020,35000,Supervisory
782,239040,35000,Supervisory
783,88110,35000,Supervisory
784,138960,35000,Supervisory
785,219110,35000,Supervisory
786,179100,35000,Supervisory
