,mean reward,Rework Cost,method
466,169130,1000,Supervisory
467,218030,1000,Supervisory
468,29080,1000,Supervisory
469,218040,1000,Supervisory
470,138070,1000,Supervisory
471,98030,1000,Supervisory
472,218050,1000,Supervisory
473,137950,1000,Supervisory
474,229050,1000,Supervisory
475,119060,1000,Supervisory
476,189020,1000,Supervisory
477,208090,1000,Supervisory
478,79100,1000,Supervisory
479,109040,1000,Supervisory
480,237910,1000,Supervisory
481,89160,1000,Supervisory
482,229000,1000,Supervisory
483,108950,1000,Supervisory
484,197970,1000,Supervisory
485,178080,1000,Supervisory
486,228960,1000,Supervisory
487,178020,1000,Supervisory
488,189060,1000,Supervisory
489,247880,1000,Supervisory
490,128970,1000,Supervisory
491,179100,1000,Supervisory
492,158030,1000,Supervisory
493,219100,1000,Supervisory
494,189040,1000,Supervisory
495,228010,1000,Supervisory
496,208130,1000,Supervisory
497,224880,1000,Supervisory
498,209160,1000,Supervisory
499,19070,1000,Supervisory
500,128980,2000,Supervisory
501,176970,2000,Supervisory
502,229090,2000,Supervisory
503,126920,2000,Supervisory
504,179050,2000,Supervisory
505,129120,2000,Supervisory
506,168950,2000,Supervisory
507,149140,2000,Supervisory
508,177010,2000,Supervisory
509,232850,2000,Supervisory
510,209090,2000,Supervisory
511,217070,2000,Supervisory
512,44950,2000,Supervisory
513,29100,2000,Supervisory
514,128960,2000,Supervisory
515,68930,2000,Supervisory
516,199010,2000,Supervisory
517,157060,2000,Supervisory
518,215000,2000,Supervisory
519,176980,2000,Supervisory
520,167080,2000,Supervisory
521,157050,2000,Supervisory
522,149080,2000,Supervisory
523,119120,2000,Supervisory
524,159100,2000,Supervisory
525,209160,2000,Supervisory
526,159060,2000,Supervisory
527,176890,2000,Supervisory
528,159050,2000,Supervisory
529,49040,2000,Supervisory
530,169140,2000,Supervisory
531,220950,2000,Supervisory
532,227050,2000,Supervisory
533,209000,2000,Supervisory
534,169110,2000,Supervisory
535,176970,2000,Supervisory
536,229030,2000,Supervisory
537,169060,2000,Supervisory
538,179030,2000,Supervisory
539,74820,2000,Supervisory
540,227000,2000,Supervisory
541,234920,2000,Supervisory
542,227070,2000,Supervisory
543,217080,2000,Supervisory
544,98980,2000,Supervisory
545,89040,2000,Supervisory
546,216990,2000,Supervisory
547,99080,2000,Supervisory
548,169130,2000,Supervisory
549,209170,2000,Supervisory
550,162940,3000,Supervisory
551,169020,3000,Supervisory
552,169060,3000,Supervisory
553,139050,3000,Supervisory
554,159100,3000,Supervisory
555,142940,3000,Supervisory
556,125970,3000,Supervisory
557,219120,3000,Supervisory
558,219120,3000,Supervisory
559,229030,3000,Supervisory
560,225990,3000,Supervisory
561,225970,3000,Supervisory
562,166030,3000,Supervisory
563,179070,3000,Supervisory
564,229010,3000,Supervisory
565,179100,3000,Supervisory
566,189000,3000,Supervisory
567,166130,3000,Supervisory
568,159060,3000,Supervisory
569,238980,3000,Supervisory
570,178980,3000,Supervisory
